SampleID,Parameter,CollectionDate,result
A1,Enterococci,7/20/21,16
A2,Enterococci,7/20/21,18.3
A3,Enterococci,7/20/21,25.3
A4,Enterococci,7/20/21,21.1
A5,Enterococci,7/20/21,20.6
A5,Enterococci,7/20/21,36.8
B1,Enterococci,7/20/21,40.3
B2,Enterococci,7/20/21,18.5
B3,Enterococci,7/20/21,4.1
B4,Enterococci,7/20/21,15.5
B5,Enterococci,7/20/21,30
C1,Enterococci,7/20/21,190.4
C2,Enterococci,7/20/21,64
C3,Enterococci,7/20/21,89.3
C4,Enterococci,7/20/21,95.8
C5,Enterococci,7/20/21,75.4
D1,Enterococci,7/20/21,185
D2,Enterococci,7/20/21,77.6
D3,Enterococci,7/20/21,105.9
D4,Enterococci,7/20/21,88.9
D5,Enterococci,7/20/21,106.7
DEL,Enterococci,7/20/21,2419.6
E1,Enterococci,7/20/21,104.6
E2,Enterococci,7/20/21,135.4
E3,Enterococci,7/20/21,156.5
E4,Enterococci,7/20/21,157.6
E5,Enterococci,7/20/21,55.6
A1,Enterococci,7/26/21,73.8
A2,Enterococci,7/26/21,5.1
A3,Enterococci,7/26/21,6.3
A4,Enterococci,7/26/21,7.4
A5,Enterococci,7/26/21,23.8
DRBC-1343ICP-20210726,Enterococci,7/26/21,18.5
B1,Enterococci,7/26/21,8.4
B2,Enterococci,7/26/21,3.1
B3,Enterococci,7/26/21,7.5
B4,Enterococci,7/26/21,10.9
B5,Enterococci,7/26/21,2
B5,Enterococci,7/26/21,4.1
C1,Enterococci,7/26/21,18.5
C2,Enterococci,7/26/21,62.7
C3,Enterococci,7/26/21,64.4
C4,Enterococci,7/26/21,16.9
C5,Enterococci,7/26/21,1
D1,Enterococci,7/26/21,25.4
D2,Enterococci,7/26/21,6.3
D3,Enterococci,7/26/21,4.1
D4,Enterococci,7/26/21,12.7
D5,Enterococci,7/26/21,177.2
E1,Enterococci,7/26/21,1413.6
E2,Enterococci,7/26/21,87.1
E3,Enterococci,7/26/21,10.6
E4,Enterococci,7/26/21,16.9
E5,Enterococci,7/26/21,19.9
A1,Enterococci,8/9/21,29.4
A2,Enterococci,8/9/21,7.5
A3,Enterococci,8/9/21,2
A4,Enterococci,8/9/21,12
A5,Enterococci,8/9/21,35.9
B1,Enterococci,8/9/21,21.6
B2,Enterococci,8/9/21,20.1
B3,Enterococci,8/9/21,9.8
B4,Enterococci,8/9/21,16
B5,Enterococci,8/9/21,9.8
C1,Enterococci,8/9/21,40.8
C2,Enterococci,8/9/21,13.2
C3,Enterococci,8/9/21,31.8
C4,Enterococci,8/9/21,9.6
C4,Enterococci,8/9/21,6.3
C5,Enterococci,8/9/21,45
D1,Enterococci,8/9/21,23.8
D2,Enterococci,8/9/21,38.8
D3,Enterococci,8/9/21,58.8
D4,Enterococci,8/9/21,139.6
D5,Enterococci,8/9/21,71.5
DEL,Enterococci,8/9/21,1
E1,Enterococci,8/9/21,13.4
E2,Enterococci,8/9/21,6.3
E3,Enterococci,8/9/21,14.6
E4,Enterococci,8/9/21,29.2
E5,Enterococci,8/9/21,30.7
A1,Enterococci,8/23/21,648.8
A2,Enterococci,8/23/21,18.3
A3,Enterococci,8/23/21,23.1
A4,Enterococci,8/23/21,20.3
A5,Enterococci,8/23/21,98.4
B1,Enterococci,8/23/21,410.6
B2,Enterococci,8/23/21,166.4
B3,Enterococci,8/23/21,74.9
DEL,Enterococci,8/23/21,2419.6
B4,Enterococci,8/23/21,88.2
B5,Enterococci,8/23/21,61.3
C1,Enterococci,8/23/21,410.6
C2,Enterococci,8/23/21,135.4
C3,Enterococci,8/23/21,155.8
C4,Enterococci,8/23/21,156.5
C5,Enterococci,8/23/21,2419.6
D1,Enterococci,8/23/21,307.6
D2,Enterococci,8/23/21,133.4
D3,Enterococci,8/23/21,103.9
D4,Enterococci,8/23/21,285.1
D5,Enterococci,8/23/21,2419.6
E1,Enterococci,8/23/21,140.3
E1,Enterococci,8/23/21,154.1
E2,Enterococci,8/23/21,100.8
E3,Enterococci,8/23/21,70.8
E4,Enterococci,8/23/21,38.5
E5,Enterococci,8/23/21,38.6